feature,count,mean,std,min,25%,50%,75%,max
Gender,994.0,0.4346076458752515,0.4959549334912107,0.0,0.0,0.0,1.0,1.0
AGE,994.0,53.605633802816904,8.758101325199512,25.0,51.0,55.0,59.0,79.0
Urea,994.0,5.129520120724346,2.948245587533109,0.5,3.67,4.6,5.7,38.9
Cr,994.0,68.74245472837022,60.087901944828985,6.0,48.0,60.0,73.0,800.0
HbA1c,994.0,8.286378269617707,2.542578236830373,0.9,6.5,8.0,10.2,16.0
Chol,994.0,4.859678068410463,1.2996251287617728,0.0,4.0,4.8,5.6,10.3
TG,994.0,2.3434708249496987,1.3993430071341444,0.3,1.5,2.0,2.9,13.8
HDL,994.0,1.2061871227364185,0.6622115357054121,0.2,0.9,1.1,1.3,9.9
LDL,994.0,2.610150905432596,1.116132672382952,0.3,1.8,2.5,3.3,9.9
VLDL,994.0,1.8590543259557344,3.6741062735626504,0.1,0.7,0.9,1.5,35.0
BMI,994.0,29.59861167002012,4.963876729878638,19.0,26.0,30.0,33.0,47.75
CLASS,994.0,0.8963782696177063,0.3049226236531696,0.0,1.0,1.0,1.0,1.0